Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar
VAHTOQ_clean,0.0002969871,0.146463888,0.287244727,1.168198002
VAJGAR_clean,0.0010908135,0.496016116,0.906052795,3.024613697
VAJTEH_clean,0.0002007291,0.088482518,0.171910565,0.660552191
VAJVEJ_clean,0.0004993099,0.242195195,0.438453882,1.23564234
VAKBIU_clean,0.0002653812,0.136521785,0.269634667,1.172746074
VAKLIF_clean,0.0003347016,0.137026824,0.274597902,1.262805754
VAKNAZ_clean,0.0002128882,0.104258746,0.209423353,0.972343039
VAKNED_clean,0.0002574956,0.127256115,0.24828794,1.180700327
VAKPOP_clean,0.0001577678,0.071690694,0.141925322,0.649203169
VAKPUV_clean,0.0001470749,0.068045329,0.130488562,0.532429693
VAKQAC_clean,0.0001814802,0.078647793,0.155085985,0.68879541
VALVAI_clean,0.0001851198,0.094645903,0.18420039,0.729779434
VALWUD_clean,0.0001650663,0.084395251,0.169558653,0.798454634
VALXAK_clean,0.0002103465,0.105669501,0.211920918,1.006432279
VALXEO_clean,0.0001667473,0.080117678,0.160081772,0.763569779
VALXIS_clean,0.0001663104,0.087538655,0.173679871,0.808030846
VALXOY_clean,0.0002418355,0.118588805,0.231650661,1.109446628
VAMPUX_clean,6.14386e-05,0.035857884,0.071044395,0.345297416
VAMQAE_clean,3.24585e-05,0.012589365,0.024977186,0.125452821
VAMQIM_clean,7.12332e-05,0.035238155,0.070025761,0.34139651
VAMQOS_clean,6.94523e-05,0.034866853,0.070639257,0.341303907
VAMYEQ_clean,0.0002132902,0.110423631,0.226199205,1.053799731
VAMYUG_clean,0.0002226281,0.114275831,0.225172661,1.078273663
VAMZER_clean,0.0003480766,0.164301656,0.314506209,1.503551598
VANHEA_clean,0.0002258625,0.149802028,0.296125774,1.310188032
VAQSEO_clean,8.98353e-05,0.054511078,0.106510562,0.420287724
VAQTUF_clean,0.0001820261,0.091972005,0.185568926,0.846308045
VARHIH_clean,0.0004018945,0.204349936,0.404277545,1.813682713
VARHON_clean,0.0003672412,0.191116448,0.378483261,1.707644206
VARJEF_clean,0.0004711336,0.226714761,0.448470417,2.007552973
VASFAZ_clean,5.28077e-05,0.029608017,0.058134189,0.281208369
VASFIH_clean,4.93654e-05,0.022809482,0.045505557,0.217567984
VASKOR_clean,0.0003040979,0.145453834,0.285791565,1.085479232
VATVIY_clean,9.41199e-05,0.040329807,0.078418166,0.368801378
VATVOE_clean,9.52819e-05,0.039184101,0.076733303,0.366274084
VATVUK_clean,0.000110502,0.054163974,0.10625964,0.468225607
VAXMUF_clean,0.0001763335,0.08932578,0.17404301,0.781976661
VAXTEV_clean,0.0001041705,0.050185682,0.098758253,0.461118486
VAZROF_clean,0.0002664025,0.141761554,0.271709748,0.987283897
VAZTOG_clean,0.0002394543,0.083321964,0.166489702,0.824112257
VAZTUM_clean,0.0001785761,0.084003799,0.165188938,0.801038404
