Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
BEFMAC_clean,5.412657906,5.9867525,7.226402459
BEGDEY_clean,8.82708991,9.167359043,10.52043687
BEJZAS_clean,7.092085315,7.382452158,7.703423353
BELJIL_clean,2.742134634,2.817247755,3.000170247
BELTOD_clean,12.00518952,12.27998418,12.75938144
BELTUJ_clean,10.46708383,10.8461663,11.36339503
BENZOL_clean,2.090038011,2.882667574,4.168994035
BENZUR_clean,1.788405146,2.55436161,3.812466214
BEPBAB_clean,6.514949049,6.667275079,7.187115864
BEPLUF_clean,0.072557487,0.145325063,0.759109676
BEPMAM_clean,0.052743788,0.106711205,0.541704085
BEPMIU_clean,0.808167089,1.432431035,3.068118871
BEPNIV_clean,0.047277547,0.096636173,0.48664743
BEPNOB_clean,0.050079877,0.096593411,0.526410287
BEPNUH_clean,0.08517156,0.174603838,0.854758666
BEPPAP_clean,0.843524399,1.482807577,3.117426684
BEPPIX_clean,0.046731292,0.092003186,0.502290075
BEPPOD_clean,0.051278673,0.102460202,0.531507186
BEPREV_clean,12.63641175,14.04288487,16.26115674
BEPREV01_clean,12.28996878,13.69190835,15.84215442
BEPREV02_clean,13.14491709,14.67607846,17.17162542
BEPREV03_clean,12.6187677,14.03089527,16.28818554
BEPRIZ_clean,9.689918326,10.01995702,11.64371037
BEPROF_clean,11.86768533,13.56671934,17.45814972
BEPVEZ_clean,0.77965649,1.238431,2.361620522
BEPVID_clean,0.826577114,1.243605007,2.156996109
BEPVOJ_clean,0.857225553,1.233243862,1.953571632
BEPVOJ01_clean,0.85352233,1.2393289,2.035444707
BEPWEA_clean,6.410362395,6.789214525,7.281415533
BERQIA_clean,6.749425817,6.896813024,7.428911477
BETDAH_clean,9.134482917,9.522400738,10.4736977
BETFOX_clean,4.660245411,4.979030314,5.470908979
BETFUD_clean,9.648647817,9.861066304,10.65088227
BETGEO_clean,4.135422521,4.207175442,4.485148062
BETGIS_clean,4.509474075,4.934984604,5.867289509
BETGOY_clean,2.807121363,3.165667539,4.919269037
BETGUE_clean,1.103794137,2.092887552,6.981444199
BETHEP_clean,2.392474443,2.933506283,5.250472088
BETHIT_clean,0.803721434,1.605413933,5.995000322
