Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
IQABEJ_clean,9.34555e-05,0.037913721,0.077175245,0.346110917,0.826239916
IQECIS_clean,0.0002350997,0.118412615,0.234173348,1.111631312,3.117713554
IQEKOG_clean,0.0003885525,0.184022418,0.359930015,1.557227558,3.611540213
IQEKUM_clean,0.0004711872,0.234695192,0.455049062,1.788925592,3.624073245
IQEWOQ_clean,2.07574e-05,0.012427282,0.024704473,0.118312263,0.322041135
IQILIF_clean,0.0004435108,0.230592112,0.441271575,1.839393087,4.011917985
IQOHUT_clean,0.0002138978,0.119388933,0.238103919,1.076848182,2.792357894
IQOJAB_clean,0.0006430514,0.314432338,0.579100744,2.071540554,3.895296923
IQOJEF_clean,0.0003724526,0.176089123,0.335849706,1.315852174,2.637786392
IQOKEG_clean,0.0003400249,0.161599553,0.322523758,1.41144943,3.3763512
IQOKIK_clean,0.000450102,0.208931953,0.400839942,1.684818834,3.691688603
IQUCOO_clean,0.0001862637,0.094935466,0.188793923,0.826051789,2.039932237
IRAYOQ_clean,0.0001180534,0.057945702,0.115022743,0.503921369,1.265767321
IREGOD_clean,0.0001984594,0.104423188,0.208041811,0.89279392,2.20094467
IRELAU_clean,0.0005334082,0.249076248,0.476612964,1.807808454,3.658541617
ISUCUV_clean,0.0004337826,0.21812748,0.430262587,1.673303405,3.386351923
ITAPAU_clean,7.56017e-05,0.038115655,0.077569572,0.378534183,1.089010481
ITAPIC_clean,9.64768e-05,0.046481487,0.092032058,0.451489232,1.297057253
ITIBOD_clean,0.000110618,0.053167956,0.102975319,0.389320572,0.781437677
ITIPAE_clean,4.4675e-05,0.024160233,0.048737433,0.221590916,0.564738005
ITIPOS_clean,5.40258e-05,0.039469476,0.076756307,0.37256037,0.990623147
ITIWAK_clean,0.000515998,0.25935285,0.481190019,1.800561978,3.322726406
ITIWEO_clean,0.0006909126,0.295056414,0.568140059,2.06099405,3.683263844
ITOSEQ_clean,0.0002652885,0.139539615,0.272643844,1.178971005,2.716551097
IVEHEW_manual,0.0001995081,0.107107354,0.215139701,1.00297132,2.746330195
IVEQAC_clean,0.0001476039,0.079536773,0.157995459,0.638932242,1.396209496
IVETOT_clean,0.0002211798,0.126880471,0.255557464,1.229353456,3.301957168
IVILEG_clean,0.0002411827,0.122276247,0.242585666,1.065113889,2.582577876
IVIPEK_clean,0.0004060604,0.18479294,0.346789557,1.132735736,1.932790413
IVOCON_clean,0.0004628322,0.234906178,0.455360958,1.863274984,3.703809299
IVOGUX_clean,0.0001658028,0.086454014,0.172123228,0.719936864,1.642746748
IWAXUZ_clean,0.0002272954,0.118434298,0.221696625,0.994487774,2.147591002
IWAYAG_clean,6.77684e-05,0.039095131,0.078049884,0.357219563,0.94596033
IWAYEK_clean,0.0001005627,0.069008374,0.13279866,0.61308901,1.429747695
IWAYIO_clean,0.0002279505,0.116315928,0.237196427,0.987100856,2.044179745
IWAYOU_clean,0.0001750278,0.077017696,0.152058124,0.660393511,1.516369635
IWAYUA_clean,0.0001369129,0.086794553,0.168150926,0.723538037,1.583772634
IWAZEL_clean,0.000238039,0.118908432,0.237840668,0.955179231,1.96728153
IWAZIP_clean,8.75442e-05,0.053504473,0.107734923,0.479541689,1.12180889
IWELIG_clean,0.0005763769,0.258365147,0.470776086,1.361027656,2.027946175
IWELIG01_clean,0.0006023674,0.263254413,0.47657349,1.357162721,2.028270292
IWEVAJ_clean,0.0002224105,0.114034668,0.227524849,1.060460406,2.876942217
IWEVUD_clean,0.000241205,0.117841904,0.229619586,0.938167491,2.021396429
IWEWAK_clean,0.0002979097,0.13820248,0.269864161,1.019318521,2.039715763
IWEWEO_clean,0.0002382702,0.10703388,0.210700032,0.871842463,1.928655775
IWEWIS_clean,0.0003261515,0.155555657,0.296499071,1.039948269,1.913964229
IWIPIO_clean,7.99399e-05,0.040037985,0.079621844,0.393477809,1.087567071
