Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
LEVLEF_clean,0.0002523712,0.1178034284,0.2280314066,0.9768491347,0.0005839258315847596,0.00161518871563643,0.0007055440099535396,1.2967864896737276e-05,Sips,[7.07569184 0.0333007  0.97590271]
LEVNOQ_clean,0.0003319648,0.168459538,0.3321279109,1.4075678083,0.000612899175836353,0.003913680648182595,0.0003091605746856748,1.0774050296430241e-05,Sips,[6.44807423 0.05430519 1.01743113]
LEVNOQ01_clean,0.0003766151,0.1746600976,0.3436146709,1.430921826,0.0006746334517445652,0.004443404305603815,0.0003022605595473891,2.804274951622815e-05,Sips,[6.0170891  0.06056498 1.01856221]
LEVPAF_clean,0.0001298374,0.0625891923,0.1241728994,0.5822137043,7.497798549056197e-06,0.0004994916731753882,7.272312649184081e-06,2.009812356928743e-06,Sips,[7.38607133 0.01709923 1.00054473]
LEVYOC_clean,0.0001075495,0.050345908,0.0969332436,0.4162732187,0.000372164254361899,0.0005581742662306482,0.00041427062083115016,1.0113896419889355e-05,Sips,[3.65491723 0.02724398 0.9639108 ]
LEWMUX_clean,0.0003484857,0.1708186206,0.3277110691,1.3200933532,0.0008015361114535052,0.0035538535332745,0.001209028856605086,2.841568233742211e-05,Sips,[6.38649002 0.05408881 0.97686311]
LEWZET_clean,0.0005882792,0.2705481373,0.5084901791,1.8491422111,0.001615403344665739,0.008168361795588037,0.00308993760067674,4.758288744931219e-05,Sips,[6.18325761 0.08960584 0.96961746]
LEYRAK_clean,5.11928e-05,0.040219584,0.0807207282,0.3975117038,9.617287295682151e-05,0.00016553752966554647,8.255501447074634e-05,1.211422342257723e-05,Sips,[9.84535437e+00 8.26667366e-03 1.01103976e+00]
LEZJOQ_clean,0.0001613749,0.0723334613,0.1406716706,0.5333734961,0.00039294054048565617,0.0026922438995889758,5.383086184424425e-05,1.646205850761225e-05,Sips,[1.57637895 0.09798041 1.02666155]
LEZMIN_clean,0.0002250252,0.1147134317,0.2230868022,0.9182109854,4.016250061540208e-05,0.002600316750602221,0.000287359290688071,6.651853138511339e-06,Sips,[4.20465352 0.05602996 0.99832057]
LEZXAR_clean,1.23324e-05,0.0079291552,0.0161189719,0.0765352665,8.00108943094828e-05,0.00012585365773230855,7.27329002987367e-05,1.3986318959827743e-07,Sips,[0.5238449  0.03174738 1.0466049 ]
LICKAL_clean,0.0001195106,0.0666685229,0.130080842,0.4910984321,0.00047822946717404483,0.002626939333811754,0.00014397133208426434,3.476221633588127e-06,Sips,[1.39033695 0.10321771 1.03515093]
LIDSAU_clean,0.0004477951,0.2086537908,0.4061814345,1.6869880075,0.00010898225608321837,0.0044834033464277,0.0005083704204185049,6.362308745891927e-06,Sips,[8.12416895 0.05262787 0.99746842]
LIDSEY_clean,0.0004436767,0.2127635235,0.4116194066,1.6895120991,0.0005087997788423563,0.004464921833723464,0.0009494801571194022,1.301667425614867e-05,Sips,[8.22711383 0.05266716 0.98831563]
LIDSIC_clean,0.0003884756,0.1745047932,0.3371129096,1.4670143914,0.001187142026809938,0.0017703811827920466,0.0012975200400536192,2.2785776703817086e-05,Sips,[14.1042176   0.0244869   0.96692208]
LIDWIG_clean,0.000173867,0.0891510627,0.1722564345,0.7406688099,0.0005318598341170094,0.0010986025535631807,0.0006155121202521782,2.1478444883642925e-05,Sips,[5.9180072  0.02997993 0.97098132]
LIDZOP_clean,0.0001711783,0.0750653904,0.1453675595,0.5082048776,0.0007405724957511606,0.0037454465146384095,0.00014524380699997564,2.650748820965552e-05,Sips,[1.17037808 0.14181983 1.04915849]
LIDZUV_clean,0.0002742664,0.1265033391,0.235862006,0.725203598,0.000601084669136413,0.007128036015896802,0.0011720308926089745,1.8389424451893232e-05,Sips,[1.4312812  0.19730426 1.02503841]
LIFSAW_clean,0.0001985225,0.0859952171,0.1700716751,0.7061943216,0.0005453033393500698,0.002422376661521143,0.0003457543572839405,2.5742029463017673e-05,Sips,[2.73394226 0.06633369 1.03033908]
