,Adsorbent,CO2_20C_0.5bar,CO2_20C_1bar,CO2_20C_5bar
4625,UMODEH15_clean,15.75080116,17.14219483,20.55430008
4626,UMODEH16_clean,16.70082265,18.30868219,21.96413789
4627,UMODEH17_clean,15.22796076,16.60369857,20.13418006
4628,UMODEH18_clean,16.25127278,17.42741573,20.56695416
4629,UMODEH19_clean,12.73780761,13.60343568,16.93413314
4630,UMODEH20_clean,14.19415239,15.53974111,19.38023275
4631,UMODEH21_clean,14.66162093,15.74083029,19.56586642
4632,UMODEH22_clean,15.53308072,16.70122004,20.0706732
4633,UMODEH23_clean,15.82092243,17.01585766,20.46809273
4634,UMODEH24_clean,15.82753356,17.12167505,20.48858294
4635,UMODEH25_clean,14.24749789,15.35079696,19.42510826
4636,UMOKIS_clean,6.649769843,7.229830029,8.698498997
4637,UMOVEZ_clean,16.36365271,17.99651341,22.30599471
4638,UMOVEZ01_clean,15.1889872,16.53984557,21.04550698
4639,UMOVEZ02_clean,15.33051828,16.65291757,21.18488104
4640,UMOVEZ03_clean,15.96001143,17.4243902,21.52858094
4641,UMOVEZ04_clean,16.30228124,17.79254085,22.10894838
4642,UMOVEZ05_clean,15.17550837,16.54289597,21.04836375
4643,UMOVID_clean,16.39289646,18.02272715,22.55508805
4644,UMOVOJ_clean,16.63133039,18.25670437,22.87659272
4645,UMOYOM_clean,14.10287743,15.30301766,18.39184961
4646,UMOYOM01_clean,14.16249302,15.30637435,18.49917736
4647,UMOYOM02_clean,14.42173948,15.53200618,18.62703281
4648,UMOYOM03_clean,14.94998173,15.94027736,18.7855589
4649,UMOYOM04_clean,14.97597305,16.09079079,19.00337314
4650,UMOYOM05_clean,14.2656701,15.48713671,18.57331685
4651,UMOYOM06_clean,15.39930939,16.69633253,19.40542047
4652,UMOYOM07_clean,15.50362333,16.68416788,19.48014481
4653,UMOYOM08_clean,14.73302428,16.02207321,18.83387877
4654,UMOYOM09_clean,14.88788285,16.01500776,18.79433487
4655,UMOYOM10_clean,14.81123385,15.8768015,18.49637104
4656,UMOYOM11_clean,13.53056004,14.75636261,18.21714947
4657,UMOYOM12_clean,13.2680207,14.4866911,19.04004527
4658,UMOYOM13_clean,11.69831576,12.61393606,15.28534443
4659,UMOYOM14_clean,11.46100344,12.1749967,14.62124079
4660,UMOYOM15_clean,11.20430625,11.79341327,13.81876871
