,Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
4625,UMODEH15_clean,0.0003776847,0.197210521,0.387225328,1.792337156,0.0007096783769501401,0.0011857794119245174,0.0007335117674220232,3.202299943014503e-05,Sips,[2.94296513e+01 1.33331272e-02 9.82863127e-01]
4626,UMODEH16_clean,0.0003711163,0.170959794,0.335384,1.607790566,0.0010264361076359168,8.216092787554178e-05,0.0009692671634857067,,Freundlich,[0.33547879 1.02704703]
4627,UMODEH17_clean,0.000535327,0.221894679,0.433670692,1.998201582,0.001182634895300596,0.001087948490880727,0.0011726560805054684,6.1771200610173535e-06,Sips,[3.97132211e+01 1.10406172e-02 9.74479026e-01]
4628,UMODEH18_clean,0.0004368005,0.192967316,0.384607809,1.799766049,0.00043337265241567705,0.001973856089518304,0.00036441511680019526,3.572122304301296e-05,Sips,[18.11367929  0.02169357  1.01052532]
4629,UMODEH19_clean,0.0005073862,0.266299426,0.515640576,2.285635151,0.0018529889847767513,0.002101547554592792,0.0019604738876432145,7.778113330282068e-05,Sips,[2.81257434e+01 1.86758978e-02 9.66323405e-01]
4630,UMODEH20_clean,0.0004499374,0.220157329,0.444410074,2.011006735,0.002165631010726591,0.004731761184249496,0.0019000856481474354,5.582848870850834e-05,Sips,[10.2722258   0.04521949  1.0458871 ]
4631,UMODEH21_clean,0.0004794953,0.214662838,0.428195906,1.962525159,0.0008221680028645713,0.003055898802301175,0.000683557433745987,4.493284478305447e-05,Sips,[14.43629382  0.03056766  1.01800563]
4632,UMODEH22_clean,0.00039739,0.204645983,0.408766492,1.91204678,0.0006568014382238655,0.0022912148812693537,0.0005584407243960721,1.016556019715447e-05,Sips,[17.71050068  0.02362574  1.01506295]
4633,UMODEH23_clean,0.0004400848,0.194382813,0.386450254,1.801674178,0.00026516643722173007,0.0019128677205437422,0.00020112639675256056,3.128031478379775e-05,Sips,[18.73979286  0.02105608  1.00638601]
4634,UMODEH24_clean,0.0003448425,0.195571698,0.392920157,1.79576916,0.0013974802690571507,0.0034683996768282107,0.0012062689908944782,1.0649762918217246e-05,Sips,[10.87475041  0.03748581  1.03344418]
4635,UMODEH25_clean,0.0004827796,0.215891134,0.429815024,1.989951635,0.0005148529997176135,0.002514891474130039,0.00041612606273997967,3.754675374976555e-05,Sips,[17.65156526  0.02495763  1.01120611]
4636,UMOKIS_clean,0.0002247086,0.109641548,0.216993137,0.984540148,0.00011096837542278147,0.0013991743878489235,4.525800390876779e-05,4.445687496629708e-06,Sips,[7.9279234  0.02814096 1.00479752]
4637,UMOVEZ_clean,0.0002853381,0.178981703,0.363466354,1.702557929,0.0018650130454989815,0.0031951049814229206,0.001682984257453283,7.724221028766894e-06,Sips,[10.42289566  0.03613189  1.04822512]
4638,UMOVEZ01_clean,0.000458579,0.208391906,0.414562251,1.918603009,0.00043091878033654123,0.002374571817538693,0.0003380211359311564,3.075049909889192e-05,Sips,[17.35811832  0.0244672   1.00972452]
4639,UMOVEZ02_clean,0.0003838476,0.210521751,0.415635665,1.909845848,0.0001697654606770517,0.0020077677835825328,0.00025066985564481034,2.587954938306912e-05,Sips,[20.23593204  0.02097024  0.99621602]
4640,UMOVEZ03_clean,0.0003498788,0.198999527,0.392978464,1.829825503,0.0002962583170165,0.001454408338549359,0.00034257875845866297,3.4594752629575214e-05,Sips,[2.50910900e+01 1.59113179e-02 9.92989960e-01]
4641,UMOVEZ04_clean,0.0003872445,0.189332002,0.376028023,1.754812162,0.00016297988791623915,0.0017518655815007085,0.00010176615032138704,7.184693052651709e-06,Sips,[19.33286256  0.019836    1.00405707]
4642,UMOVEZ05_clean,0.0003906414,0.207841611,0.417381663,1.919499786,0.0013652841825415154,0.0034156117835777112,0.0011870781176567006,2.0720026876399562e-05,Sips,[12.47180264  0.03462474  1.03073712]
4643,UMOVID_clean,0.0003227038,0.176807699,0.355684098,1.673409286,0.0010596120488349863,0.0023208687618632242,0.0009451828498714884,1.0762882191395465e-05,Sips,[13.47646005  0.02710845  1.02794581]
4644,UMOVOJ_clean,0.0003974352,0.168074315,0.34208638,1.606592621,0.001893801402043797,0.0030806498448791016,0.0017402290525636655,7.491686012864584e-05,Sips,[9.63162365 0.03682474 1.05200411]
4645,UMOYOM_clean,0.0004501428,0.223315528,0.437634162,2.048918698,0.0011383901384136963,0.0007217953961195816,0.001117817976756075,3.561454849997876e-05,Sips,[6.17285604e+01 7.14029593e-03 9.75696092e-01]
4646,UMOYOM01_clean,0.0004292752,0.220337431,0.438585126,2.021814738,0.0005635688902727898,0.0027182323517317176,0.0004405773480477148,7.524239089627498e-06,Sips,[16.97451534  0.02652315  1.01205581]
4647,UMOYOM02_clean,0.000381578,0.213430273,0.422856959,1.975661689,6.18793951290489e-05,0.0017181752444698451,0.00011794548627118126,2.6168813637054843e-05,Sips,[2.48007440e+01 1.73459544e-02 9.98758198e-01]
4648,UMOYOM03_clean,0.0003304759,0.188891478,0.380913298,1.795650187,0.001311651974525353,0.0026037800658694917,0.0011771131504112952,8.579316663579926e-06,Sips,[13.85979983  0.02825998  1.03230915]
