Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
FAVDAK_clean,0.0004571361,0.189809002,0.335983252,0.921339511,9.255000314973549e-06,Freundlich–Langmuir,[1.07686696 0.4074469  0.78093328]
FAVDEO_clean,0.0002389786,0.104647192,0.191615498,0.63064026,3.073802065399488e-06,Freundlich–Langmuir,[0.4992459  0.46647648 0.50947893]
FAVDIS_clean,0.0001348339,0.062771218,0.119809171,0.425901413,1.579425325272047e-06,Freundlich–Langmuir,[2.90938193 0.04526316 2.13545782]
FAVFUG_clean,0.0002983845,0.138580101,0.26894905,1.156410222,5.643458084135601e-06,Freundlich–Langmuir,[0.75765015 0.37896109 0.20346072]
FAVKAP_clean,0.0001576896,0.081068514,0.160046973,0.754780154,3.5425964357743173e-06,Freundlich–Langmuir,[0.2958501  0.55697356 0.06583476]
FAYPAY_clean,0.0002654284,0.108565889,0.214346677,0.987389729,2.264783651990022e-05,Freundlich–Langmuir,[1.6316492  0.13491845 0.21070844]
FAYPEC_clean,0.0002098703,0.097429694,0.196851436,0.887408927,,Freundlich–Langmuir,"[nan, nan, nan]"
FAYPIG_clean,0.0002020274,0.099390242,0.196556379,0.898962188,,Freundlich–Langmuir,"[nan, nan, nan]"
FAYPOM_clean,0.0001731808,0.080560883,0.159852951,0.742443779,,Freundlich–Langmuir,"[nan, nan, nan]"
FAYQAZ_clean,0.0001486011,0.081561261,0.163886263,0.75403474,,Freundlich–Langmuir,"[nan, nan, nan]"
FAYQED_clean,0.0003253863,0.152950143,0.296065873,1.314464488,2.209666600724295e-06,Freundlich–Langmuir,[0.26806013 1.19751718 0.10272691]
FAYQUT_clean,0.000245658,0.117142868,0.232629344,1.040901848,,Freundlich–Langmuir,"[nan, nan, nan]"
FAZFET_clean,4.39309e-05,0.020402891,0.041243199,0.193010202,,Freundlich–Langmuir,"[nan, nan, nan]"
FAZPED_clean,5.16109e-05,0.026623849,0.052537786,0.247995622,1.2815071245995855e-06,Freundlich–Langmuir,[0.08170721 0.66305066 0.06036648]
